url,text,lat,lng
https://padlet-uploads.storage.googleapis.com/474396193/a847ef94cee902e08b72af8c717651e6/image.png,"""""--Modification to class attendance policy for self quarantine University of Arizona", 32.231930, -110.949766 
https://padlet-uploads.storage.googleapis.com/474396193/d20e7acd2a9863146035d1cba5fdda91/20200311_100322.jpg,"""""--Entrance to University of Arizona College of Medicine", 32.241058, -110.946307 
https://padlet-uploads.storage.googleapis.com/474390914/c14eec1c7c5b0817449c1969b5fdba4c/0B8E3450_E8D1_4CC1_BF09_8DBDAD70F33E.jpeg,UArizona University Services Building 5th Floor Elevator --Page on ways to prevent the virus , 32.232497, -110.959242 
https://padlet-uploads.storage.googleapis.com/471991510/01d9541921984ffcd7fda557a3d9a706/49EB889F_BBEB_40DB_8003_2FD5F010AFCA.jpeg,"""""--Senior ambulance- Manhattan- isn’t this a good idea???", 32.232497, -110.959242 
https://padlet-uploads.storage.googleapis.com/471991510/aaf1e93b8e2e3ba066ef6bcf4aa51a7a/38B18251_6C73_46D0_87A3_1F1F994718A7.jpeg,"""""--Jewish Community Center Staten Island", 40.753607, -73.991966 
https://padlet-uploads.storage.googleapis.com/471991510/35a6bb91bc8ba94c956a08c88adbe703/67062D6A_8BBF_4C69_A455_A5F269E047E0.jpeg,"""""--Delta Counter -La Guardia", 40.776513, -73.874502 
https://padlet-uploads.storage.googleapis.com/474292488/50ff56546be26221ac531b9ef6b46079/ECE1116B_338D_4981_B873_29223F5CF699.jpeg,Outside TMC wound care center , 32.239802, -110.855412 
https://padlet-uploads.storage.googleapis.com/473851928/299e0b45981469bd27403e511d6514ce/cv.jpg,In the ladies bathroom on the 2nd floor of Mel and Enid Zuckerman College of Public Health--, 32.238412, -110.945721 
https://padlet-uploads.storage.googleapis.com/473219135/bc1ba68001b8e609851778c537a8110a/D4C0F1D7_3131_4072_A193_8F95F85B8055.jpeg,"""""--I live in Tennessee and Vanderbilt just closed for the week. ", 36.143882, -86.802264 
https://padlet-uploads.storage.googleapis.com/472980133/970ff094eeb68fcf4d8187dfc7995015/image.jpg,Next care urgent care--It is sad that people are coughing but they are not giving any masks😐just hand sanitizer. , 32.228055, -110.956897 
https://padlet-uploads.storage.googleapis.com/459901633/e292fd475bdd6e8fccf30996b5a88545/20200308_123448.jpg,"""Disinfectant section at Fry's Grocery in Tucson", 32.252878, -110.891666 
https://padlet-uploads.storage.googleapis.com/459901633/d38aa6362039721d7b13c41d223af570/20200308_122456.jpg,"""Hand soap section at Fry's Grocery in Tucson", 32.252878, -110.891666 
https://padlet-uploads.storage.googleapis.com/472112764/33ed2d8da24f0e5684d2fd43da7ef6f0/38E27DB7_7F65_4385_AF58_64F85E18AC4E.jpeg,UA Main Library, 32.231072, -110.949328 
https://padlet-uploads.storage.googleapis.com/471991510/bd9735fe743a824c02e57c8df233dd10/011F9058_DBEB_425A_AF15_850E4E293DE3.jpeg,Fry’s grocery Tucson limit on cleaning supplies ,32.252878, -110.891666
https://padlet-uploads.storage.googleapis.com/459901633/5d0adeb9fe2a93675c4c07c6295b2870/IMG_7405.jpg,UA Psychology Department--Hand sanitizer at the entrance to the main office., 32.232642, -110.949160 
,,,
https://padlet-uploads.storage.googleapis.com/474525454/25021d9c205cd4bdc3d63681fd686768/0C4D3323_07B9_4D45_948E_253DA1ACF22A.jpeg,Elevators in Waikiki, 21.283100, -157.836765 
https://padlet-uploads.storage.googleapis.com/476629841/5f97f2655f5afbfc7651f597d3b47115/AEE5A067_9A2C_4911_BD4D_1AECEABA7F77.png,,32.220720, -110.927458
https://padlet-uploads.storage.googleapis.com/476629841/3db971f3c52d6f6e3f4c11ae3cd3d62b/6FC75BC9_C466_44CA_BC22_AF2B5D13FA2E.png,,32.217991, -110.957639
https://padlet-uploads.storage.googleapis.com/475857605/6becb46edd920076dcf88f523ea71810/Screen_Shot_2020_03_14_at_3_18_13_PM.png,,32.238352, -111.003559
https://padlet-uploads.storage.googleapis.com/475857605/5b0585ffeadc2b8f6603a464467a7b4c/Screen_Shot_2020_03_14_at_3_17_56_PM.png,Safeway email,32.227461, -110.999310
https://padlet-uploads.storage.googleapis.com/475857605/813dcd49fcb80ac91089ceac86b70950/Screen_Shot_2020_03_14_at_3_17_13_PM.png,Tucson Audobon Society ,32.231031, -110.966565
https://padlet-uploads.storage.googleapis.com/475857605/b57bf1220a19058c9e0283324acca02e/Screen_Shot_2020_03_14_at_3_16_55_PM.png,Pima County library email,32.234516, -110.931289
https://padlet-uploads.storage.googleapis.com/471916734/9434c11ff4d834ad2fc5bf5874fe80f8/20200314_150710.jpg,--Sproouts Broadway tucson. All employees required to wear gloves,32.237981, -110.893869
https://padlet-uploads.storage.googleapis.com/475969977/e1054d650bdd63f335c1fdf3b9a6dd16/26376BB0_0031_4B81_B914_E7A3C104106A.jpeg,Phoenix--Customs at the airport\xa0, 33.436427, -112.007584 
https://padlet-uploads.storage.googleapis.com/475969977/d8bf939f09f805fb7f5c6535df2a0c4d/43E340D5_7162_4040_BC00_40A699FCC649.jpeg,Phoenix--Customs in the airport\xa0, 33.436427, -112.007584 
https://padlet-uploads.storage.googleapis.com/475969977/6a0e12bb0cc09dffab8b719baea2cec4/F6C3924F_1FF7_40E1_BA31_2BD5061E2159.png,Instacart Grocery Delivery --New option + information for grocery delivery service\xa0, 33.678840, -117.906921 
https://padlet-uploads.storage.googleapis.com/471917086/1648a51434ecd70ba07ee81986f642d1/20200313_093631.jpg,, 32.249590, -110.961686 
https://padlet-uploads.storage.googleapis.com/475969977/59163f34a32a619a18d9611ab632695b/728F34B9_45B0_4A06_B2E9_31569159186E.png,6th District of Illinois --Congressman Sean Casten’s update/advice on the virus, 41.773465, -89.696747 
https://padlet-uploads.storage.googleapis.com/471917086/af61dab1e14f082047ca648619643eb8/20200313_105145.jpg,, 32.283823, -110.945063 
https://padlet-uploads.storage.googleapis.com/471917086/a10d55eba004854b08158a341828a4c4/1584125419216830381776.jpg,, 32.285560, -110.958110 
https://padlet-uploads.storage.googleapis.com/471917086/e9ca569e79ba91f5d15ba034cfe84c76/158412538313773710887.jpg,, 32.285560, -110.958110 
https://padlet-uploads.storage.googleapis.com/471917086/2d978026fb889f4e8c4517dab7f46c32/15841253488771321436016.jpg,, 32.285560, -110.958110 
https://padlet-uploads.storage.googleapis.com/471917086/87af6defb147fe768a5ba7c24f632cec/15841252671661455790850.jpg,, 32.285560, -110.958110 
https://padlet-uploads.storage.googleapis.com/475969977/96bbee2f9ab51db4e9b6a84e43db77a0/68758976_F231_474A_94BB_FD9345C062D4.jpeg,"Cancun--Puerto Juárez, transportation to islands off of Mexico",21.182512, -86.809956
https://padlet-uploads.storage.googleapis.com/473219135/66eb3c5197a1ae32c579da39ee4e7d16/88E6E789_185C_4621_AD62_A965E53F2F2F.jpeg,--A local grocery store in Tennessee\xa0, 36.170790, -86.678829 
https://padlet-uploads.storage.googleapis.com/475857605/b1cdfd2276abb9b2c3e8047f3dccbb21/IMG_6827.jpg,Hand sanitizer and Lysol in Albertsons, 32.299236, -110.992662 
https://padlet-uploads.storage.googleapis.com/475857605/46bd144389fdc0dfdc058d37088555ae/Screen_Shot_2020_03_13_at_9_13_13_AM.png,Physicians for Human Rights email,32.232266, -110.950764
https://padlet-uploads.storage.googleapis.com/475857605/af426e6fb2c200ee504e15766a722730/Screen_Shot_2020_03_13_at_9_13_00_AM.png,Vote.org email,32.232266, -110.950764
https://padlet-uploads.storage.googleapis.com/475857605/17c92bb305b7ade743f254a0d6de360a/Screen_Shot_2020_03_13_at_9_12_49_AM.png,Starbucks email, 32.231031, -110.948447 
https://padlet-uploads.storage.googleapis.com/475857605/2dc2256a649a1bbc6486b5b98a1a467d/Screen_Shot_2020_03_13_at_9_13_24_AM.png,Session Yoga email, 32.221300, -110.927419 
https://padlet-uploads.storage.googleapis.com/427571804/89667afa9990e446e8ca59343922a6ee/Snip20200313_41.png,Apartment complex email,33.544956, -112.042553
https://padlet-uploads.storage.googleapis.com/474396193/da8240e8db43c23015b937cbbf78beef/image.png,--Roadhouse Cinema Tucson AZ 3/12/20,32.252156, -110.889832
https://padlet-uploads.storage.googleapis.com/475105311/6c5d8eb5cdfdcb6810c997c118a6a9b2/UA_3_12.jpg,UA 3/11,32.231694, -110.951225
https://padlet-uploads.storage.googleapis.com/474661454/87676fd04decf031ef4cf4903f4e69ca/IMG_4321.png,Tinder --this was shown as an ad on the tinder app,32.226974, -110.950109
https://padlet-uploads.storage.googleapis.com/474552639/eab6894e33cbacc46790107b691ae519/6796B9C7_51C5_4C56_A1C5_701D1BA88A95.jpeg,Ulta email--Part 2,32.286183, -110.976203
https://padlet-uploads.storage.googleapis.com/474552639/6673a8361a1b97d53a0fb5a72bb0b65c/495B016D_EB08_4FF4_B07E_DE3BFDCD4779.jpeg,Ulta email--Part 1,32.286183, -110.976203
https://padlet-uploads.storage.googleapis.com/474552639/6673a8361a1b97d53a0fb5a72bb0b65c/495B016D_EB08_4FF4_B07E_DE3BFDCD4779.jpeg,Ulta email--Part 1,32.284706, -110.975517
https://padlet-uploads.storage.googleapis.com/471916734/90005f659cc2113037c59b1b818ccfec/20200311_145928.jpg,--Sign in front of classroom at Hermosa,32.218794, -110.983953
https://padlet-uploads.storage.googleapis.com/474552639/b15edc0e428ace1ae7dae5a9ceaa82b0/CC0E6AA0_B6C6_4CDA_A585_A6E0A6DD0A72.jpeg,Best Buy email--(Part 2),32.170270, -110.976229
https://padlet-uploads.storage.googleapis.com/474552639/3caa808090f8e5d32f6979cc05c6aa7f/A6C3D577_1E8C_4EAC_847C_293CC5B47D84.jpeg,Best Buy email--Best buy sent out this email on their preventive measures. (Part 1),32.170270, -110.976229
